Text	Label
Hỗ trợ nhiệt tình dùng rất ưng ý	1
Rất phiền không được hỗ trợ	0
Rất hài lòng dùng rất ưng ý	1
Rất chuyên nghiệp không có gì để chê	1
Cảm ơn, rất OK dùng rất ưng ý	1
Sẽ ủng hộ lần sau một trải nghiệm tuyệt vời	1
Sản phẩm khác mô tả không đáng đồng tiền	0
Trải nghiệm tuyệt vời một trải nghiệm tuyệt vời	1
Sản phẩm tốt giá hợp lý với chất lượng	1
Khó liên hệ hỗ trợ	0
Tuyệt vời hỗ trợ sau bán hàng tốt	1
Sản phẩm chất lượng không có gì để chê	1
Sản phẩm bị lỗi phải chờ quá lâu	0
Không hài lòng	0
Sản phẩm khác mô tả không hài lòng chút nào	0
Mua lại lần nữa	1
Sự cố liên tục trải nghiệm tệ hại	0
Giao hàng nhanh	1
Giao hàng nhanh	1
Không hài lòng không đáng đồng tiền	0
Rất chuyên nghiệp hỗ trợ sau bán hàng tốt	1
Hủy đơn không hoàn tiền	0
Giao hàng chậm	0
Dịch vụ kém không hài lòng chút nào	0
Hủy đơn không hoàn tiền không nên mua	0
Không đáng tiền không xứng đáng với giá tiền	0
Nhân viên thân thiện giá hợp lý với chất lượng	1
Không hài lòng và tôi rất thất vọng	0
Rất hài lòng	1
Rất đáng tiền	1
Mua lại lần nữa	1
Trải nghiệm tuyệt vời	1
Sản phẩm khác mô tả	0
Chất lượng tệ	0
Rất chuyên nghiệp	1
Rất đáng tiền một trải nghiệm tuyệt vời	1
Rất hài lòng	1
Hỗ trợ nhiệt tình đóng gói đẹp và giao đúng hẹn	1
Giá cả hợp lý hỗ trợ sau bán hàng tốt	1
Hủy đơn không hoàn tiền trải nghiệm tệ hại	0
Mua lại lần nữa và tôi rất hài lòng	1
Tuyệt vời hỗ trợ sau bán hàng tốt	1
Trải nghiệm tuyệt vời giá hợp lý với chất lượng	1
Cảm ơn, rất OK không có gì để chê	1
Rất hài lòng	1
Mua lại lần nữa	1
Khó liên hệ hỗ trợ không xứng đáng với giá tiền	0
Nhân viên thiếu chuyên nghiệp	0
Sản phẩm bị lỗi	0
Chất lượng vượt mong đợi	1
Chất lượng vượt mong đợi đóng gói đẹp và giao đúng hẹn	1
Sản phẩm đúng mô tả	1
Phục vụ kém rất mất thời gian	0
Tôi thất vọng phải chờ quá lâu	0
Sản phẩm tốt	1
Hỗ trợ nhiệt tình đóng gói đẹp và giao đúng hẹn	1
Chất lượng tệ	0
Trải nghiệm tuyệt vời đóng gói đẹp và giao đúng hẹn	1
Sản phẩm khác mô tả	0
Rất hài lòng một lựa chọn hoàn hảo	1
Giao hàng chậm không đáng đồng tiền	0
Sản phẩm đúng mô tả đóng gói đẹp và giao đúng hẹn	1
Dịch vụ rất tốt	1
Sản phẩm bị lỗi	0
Cảm ơn, rất OK dùng rất ưng ý	1
Giao hàng nhanh một lựa chọn hoàn hảo	1
Giao sai hàng không nên mua	0
Sự cố liên tục trải nghiệm tệ hại	0
Sẽ ủng hộ lần sau	1
Tuyệt vời	1
Hủy đơn không hoàn tiền	0
Sản phẩm khác mô tả không xứng đáng với giá tiền	0
Sản phẩm khác mô tả gặp trục trặc ngay sau khi nhận	0
Giao hàng chậm phải chờ quá lâu	0
Nhân viên thân thiện	1
Đóng gói cẩn thận một lựa chọn hoàn hảo	1
Giá cả hợp lý	1
Sản phẩm tốt	1
Sản phẩm tốt và tôi rất hài lòng	1
Đóng gói tệ	0
Không đáng tiền trải nghiệm tệ hại	0
Sản phẩm khác mô tả không được hỗ trợ	0
Dịch vụ rất tốt thiết kế đẹp, dùng bền	1
Gặp nhiều vấn đề	0
Giao sai hàng rất mất thời gian	0
Tôi thất vọng rất mất thời gian	0
Hỗ trợ nhiệt tình hỗ trợ sau bán hàng tốt	1
Giá cả hợp lý giá hợp lý với chất lượng	1
Sẽ không mua lại rất mất thời gian	0
Sản phẩm chất lượng dùng rất ưng ý	1
Hài lòng với dịch vụ một trải nghiệm tuyệt vời	1
Dịch vụ kém	0
Khó liên hệ hỗ trợ	0
Sản phẩm khác mô tả không xứng đáng với giá tiền	0
Khó liên hệ hỗ trợ không được hỗ trợ	0
Chất lượng tệ	0
Sản phẩm bị lỗi	0
Chất lượng vượt mong đợi và tôi rất hài lòng	1
Sản phẩm hư hỏng	0
Sẽ không mua lại	0
Sản phẩm tốt	1
Sản phẩm bị lỗi	0
Trải nghiệm tuyệt vời	1
Sản phẩm hư hỏng	0
Đóng gói cẩn thận	1
Rất chuyên nghiệp thiết kế đẹp, dùng bền	1
Sản phẩm bị lỗi gặp trục trặc ngay sau khi nhận	0
Gặp nhiều vấn đề	0
Cảm ơn, rất OK	1
Mua lại lần nữa	1
Sản phẩm tốt đóng gói đẹp và giao đúng hẹn	1
Giao hàng chậm không nên mua	0
Hỗ trợ nhiệt tình thiết kế đẹp, dùng bền	1
Sẽ giới thiệu cho bạn bè	1
Giá cả hợp lý hỗ trợ sau bán hàng tốt	1
Trải nghiệm tuyệt vời	1
Dịch vụ rất tốt đóng gói đẹp và giao đúng hẹn	1
Đóng gói cẩn thận đóng gói đẹp và giao đúng hẹn	1
Rất phiền và tôi rất thất vọng	0
Rất đáng tiền đóng gói đẹp và giao đúng hẹn	1
Sản phẩm tốt dùng rất ưng ý	1
Không đáng tiền	0
Trải nghiệm tồi	0
Tuyệt vời đóng gói đẹp và giao đúng hẹn	1
Mua lại lần nữa	1
Khó liên hệ hỗ trợ không nên mua	0
Sản phẩm tốt	1
Đóng gói tệ	0
Đóng gói tệ không hài lòng chút nào	0
Mua lại lần nữa và tôi rất hài lòng	1
Giao sai hàng không hài lòng chút nào	0
Rất phiền và tôi rất thất vọng	0
Rất phiền gặp trục trặc ngay sau khi nhận	0
Rất hài lòng một lựa chọn hoàn hảo	1
Sản phẩm chất lượng một trải nghiệm tuyệt vời	1
